channel,source,seg_id,direction_name,direction,amp_pct,cmd_median,v_ss,F_drag,k,KT,T_per_thruster,n_rpm,n_can_per,pwr_mean,pwr_eff,tau_est
TX,0616,3,前进,1,40%,4000,0.5919,4.1865,0.001047,0.136,4.1865,1052.6,4000,6.9,0,64.62
TX,0616,4,前进,1,40%,4000,0.5514,3.6574,0.000914,0.1188,3.6574,1052.6,4000,6.9,0,64.62
TX,0616,6,后退,-1,20%,2000,0.1971,0.5497,0.000275,0.0714,0.5497,526.3,2000,6.9,0,64.62
TX,0616,7,后退,-1,40%,4000,0.3618,1.6556,0.000414,0.0538,1.6556,1052.6,4000,6.9,0,64.62
TX,0616,8,前进,1,20%,2000,0.2513,0.8487,0.000424,0.1103,0.8487,526.3,2000,6.9,0,64.62
TX,0616,11,前进,1,60%,6000,0.5843,4.0834,0.000681,0.059,4.0834,1578.9,6000,6.9,0,64.62
TX,0616,12,前进,1,60%,6000,0.6853,5.5415,0.000924,0.08,5.5415,1578.9,6000,6.9,0,64.62
TX,0616,13,后退,-1,60%,6000,0.4383,2.3689,0.000395,0.0342,2.3689,1578.9,6000,6.9,0,64.62
TX,0616,16,前进,1,80%,8000,0.7729,6.9832,0.000873,0.0567,6.9832,2105.3,8000,6.9,0,64.62
TX,0616,17,后退,-1,80%,8000,0.4876,2.8963,0.000362,0.0235,2.8963,2105.3,8000,6.9,0,64.62
TY,0616,1,右移,1,20%,2000,0.1076,2.2465,0.001123,4.5055,1.1233,263.2,1000,6.9,0,32.93
TY,0616,2,右移,1,40%,4000,0.1629,5.0095,0.001252,2.5117,2.5047,526.3,2000,6.9,0,32.93
TY,0616,9,左移,-1,20%,2000,0.0489,0.5089,0.000254,1.0206,0.2544,263.2,1000,6.9,0,32.93
TY,0616,10,左移,-1,40%,4000,0.1048,2.1376,0.000534,1.0717,1.0688,526.3,2000,6.9,0,32.93
TY,0616,14,左移,-1,60%,6000,0.1366,3.5609,0.000593,0.7935,1.7804,789.5,3000,6.9,0,32.93
TY,0616,15,右移,1,60%,6000,0.1961,7.1921,0.001199,1.6027,3.596,789.5,3000,6.9,0,32.93
TY,0616,18,左移,-1,80%,8000,0.1617,4.941,0.000618,0.6193,2.4705,1052.6,4000,191.3,0.0042,32.93
TY,0616,19,左移,-1,80%,8000,0.092,1.6652,0.000208,0.2087,0.8326,1052.6,4000,193.8,0.0008,32.93
TY,0616,20,左移,-1,80%,8000,0.1574,4.6874,0.000586,0.5876,2.3437,1052.6,4000,271.0,0.0027,32.93
TY,0616,21,右移,1,80%,8000,0.232,9.9971,0.00125,1.2531,4.9985,1052.6,4000,356.6,0.0065,32.93
MZ,0616,5,右转,1,20%,1678,0.2768,1.4514,0.000865,3.7494,1.8142,366.6,1393,6.9,0,58.65
MZ,0616,26,右转,1,20%,2468,0.3815,2.7264,0.001105,3.2578,3.408,539.1,2048,77.1,0.0135,58.65
MZ,0616,27,右转,1,20%,2474,0.3901,2.85,0.001152,3.3889,3.5624,540.4,2053,71.5,0.0155,58.65
MZ,0616,32,右转,1,40%,3876,0.515,4.9326,0.001273,2.3896,6.1658,846.6,3217,164.1,0.0155,58.65
MZ,0616,36,右转,1,40%,3867,0.5037,4.7214,0.001221,2.298,5.9018,844.6,3210,183.7,0.013,58.65
MZ,0616,39,右转,1,60%,6000,0.539,5.3977,0.0009,1.0913,6.7471,1310.5,4980,181.8,0.016,58.65
MZ,0616,40,左转,-1,60%,6000,0.0271,0.0189,3e-06,0.0038,0.0237,1310.5,4980,19.6,0,58.65
TX,0601,,前进,,100%,9500,0.675,5.3823,0.000567,0.031,5.3823,2500.0,,,,
TY,0601,,右移,,100%,9500,0.33,19.9996,0.002105,1.7777,9.9998,1250.0,,,,
TY,0601,,左移,,100%,9500,0.2,7.4776,0.000787,0.6647,3.7388,1250.0,,,,
