seg_id,channel,direction_name,amp_pct,cmd_median,k,d1,d2,tau,v_ss_meas,v_ss_pred,R2,KT,T_per_thruster,n_rpm_est,pp_mean,n_can_g_per_thruster
1,TY,右移,20%,2000,0.000407,6.3299,11.4566,8.689,0.0714,0.1076,0.9883,1.632024,0.4069,263.2,6.9,1000
2,TY,右移,40%,4000,0.000992,22.2783,4.6808,2.469,0.0789,0.1719,0.9079,1.989162,1.9837,526.3,6.9,2000
3,TX,前进,40%,4000,0.00148,2.5541,11.3295,16.444,0.3168,0.6189,0.982,0.192331,5.9197,1052.6,6.9,4000
4,TX,前进,40%,4000,0.001163,4.3419,6.8424,9.673,0.3297,0.5661,0.9827,0.151102,4.6507,1052.6,6.9,4000
5,MZ,右转,20%,185,0.0,46.9801,0.1953,0.255,4.191,0.0,-1.3114,0.0,0.0,40.4,6.9,154
6,TX,后退,20%,2000,0.000667,0.0,31.6511,5415686208206223.0,0.1437,0.2053,0.9605,0.173289,1.3334,526.3,6.9,2000
7,TX,后退,40%,4000,0.001164,0.0,33.2277,1.0050327541203453e+18,0.1991,0.3744,0.9353,0.151299,4.6568,1052.6,6.9,4000
9,TY,左移,20%,2000,0.000186,6.8785,0.0,7.996,0.0265,0.0539,0.9285,0.744171,0.1855,263.2,6.9,1000
11,TX,前进,60%,6000,0.001902,16.5828,2.9851,2.533,0.2337,0.6191,0.9703,0.164767,11.4105,1578.9,6.9,6000
15,TY,右移,60%,6000,0.000909,12.2838,74.2606,4.477,0.0679,0.2007,0.9205,1.215876,2.7281,789.5,6.9,3000
17,TX,后退,80%,8000,0.000867,4.1407,20.603,10.143,0.2147,0.4883,0.9846,0.056326,6.9345,2105.3,6.9,8000
21,TY,右移,80%,8000,0.000642,10.692,48.8624,5.144,0.078,0.2327,0.9426,0.643516,2.5669,1052.6,346.7,4000
23,TX,后退,100%,10000,9.7e-05,0.0,1238.5866,2.8053438024846794e+17,0.0109,0.0279,0.1132,0.005573,0.9675,2500,71.3,10000
24,TX,后退,100%,10000,0.00174,44.8654,0.0,0.936,0.7445,0.0,0.2126,0.100221,17.3995,2500,48.2,10000
25,TX,前进,100%,10000,0.00298,75.2123,0.0,0.558,0.009,0.0,0.242,0.171633,29.7975,2500,413.6,10000
26,MZ,右转,20%,397,0.0,8.3805,0.0,1.432,4.987,0.0,-0.903,0.0,0.0,86.7,71.2,330
27,MZ,右转,20%,175,0.0,0.0,0.0,6.61570137685688e+17,4.2629,0.0,-0.5976,0.0,0.0,38.2,60.7,145
30,TX,后退,100%,10000,0.000689,1.7079,26.8541,24.591,0.1996,0.4757,0.9839,0.039676,6.8881,2500,383.9,10000
31,TX,前进,100%,10000,0.000985,7.7282,4.2947,5.435,0.3676,0.8615,0.977,0.05671,9.8456,2500,417.1,10000
32,MZ,右转,40%,409,0.0,43.188,0.0,0.278,1.3248,0.0,-0.7293,0.0,0.0,89.3,169.2,339
36,MZ,右转,40%,2959,0.0,2.5961,0.0,4.622,17.6178,0.0,0.0279,0.0,0.0,646.3,164.4,2456
37,MZ,右转,100%,10000,0.0,1.6973,9.8667,7.07,18.6818,0.0,-0.1721,0.0,0.0,2184.2,476.9,8300
39,MZ,右转,60%,6000,0.0,2.6119,0.0,4.594,15.1679,0.0,-2.3456,0.0,0.0,1310.5,227.7,4980
40,MZ,左转,60%,6000,0.0,2.4196,0.2501,4.959,0.7746,0.0,-0.2958,0.0,0.0,1310.5,37.0,4980
