channel,direction,direction_name,amp_pct,cmd_median,v_ss,tau,d1_shared,d2_cfd,k,F_drag,KT,T_per_thruster,n_rpm_est,R2_fo,pwr_eff
TX,正向,前进,40%,4000,0.6185,1.974,28.249,10.85,0.005406,21.6221,0.7025,21.6221,1052.6,0.958,0
TX,正向,前进,40%,4000,0.549,2.581,28.249,10.85,0.004695,18.7804,0.6102,18.7804,1052.6,0.96,0
TX,正向,前进,20%,2000,0.2601,4.423,28.249,10.85,0.004041,8.0812,1.0502,8.0812,526.3,0.99,0
TX,正向,前进,60%,6000,0.6337,0.97,28.249,10.85,0.003709,22.2569,0.3214,22.2569,1578.9,0.823,0
TX,正向,前进,60%,6000,0.6835,2.003,28.249,10.85,0.004063,24.3765,0.352,24.3765,1578.9,0.991,0
TX,正向,前进,80%,8000,0.7639,1.602,28.249,10.85,0.003489,27.9084,0.2267,27.9084,2105.3,0.953,0
TX,正向,前进,100%,10000,0.7181,0.655,28.249,10.85,0.002588,25.8793,0.1491,25.8793,2500,0.971,0
TX,正向,前进,100%,10000,0.7,0.806,28.249,10.85,0.002509,25.0889,0.1445,25.0889,2500,0.748,0
TX,正向,前进,100%,10000,0.7951,0.684,28.249,10.85,0.002932,29.3195,0.1689,29.3195,2500,0.979,0
TX,正向,前进,100%,10000,0.8281,0.921,28.249,10.85,0.003083,30.8333,0.1776,30.8333,2500,0.95,0
TX,正向,前进,100%,10000,0.8945,1.487,28.249,10.85,0.003395,33.9505,0.1956,33.9505,2500,0.967,0
TX,反向,后退,20%,2000,0.2048,2.529,30.914,10.85,0.003392,6.7846,0.8817,6.7846,526.3,0.909,0
TX,反向,后退,40%,4000,0.3774,0.809,30.914,10.85,0.003303,13.2105,0.4292,13.2105,1052.6,0.752,0
TX,反向,后退,60%,6000,0.4387,1.482,30.914,10.85,0.002608,15.6494,0.226,15.6494,1578.9,0.918,0
TX,反向,后退,80%,8000,0.4787,1.254,30.914,10.85,0.002161,17.2865,0.1404,17.2865,2105.3,0.901,0
TX,反向,后退,100%,10000,0.0109,5.13,30.914,10.85,3.4e-05,0.3381,0.0019,0.3381,2500,0.665,0
TX,反向,后退,100%,10000,0.4701,1.019,30.914,10.85,0.001693,16.9312,0.0975,16.9312,2500,0.95,0
TY,正向,右移,20%,2000,0.1089,6.236,51.163,178.59,0.003844,7.6885,15.4196,3.8442,263.2,0.976,0
TY,正向,右移,40%,4000,0.1704,1.564,51.163,178.59,0.003475,13.8987,6.9686,6.9493,526.3,0.641,0
TY,正向,右移,60%,6000,0.2136,0.756,51.163,178.59,0.00318,19.0798,4.2517,9.5399,789.5,0.746,0
TY,正向,右移,80%,8000,0.2408,1.075,51.163,178.59,0.002835,22.6775,2.8426,11.3387,1052.6,0.815,0
TY,正向,右移,100%,10000,0.286,0.773,51.163,178.59,0.002924,29.2377,2.3455,14.6189,1315.8,0.949,0
TY,反向,左移,20%,2000,0.0564,5.986,39.217,178.59,0.00139,2.7807,5.5768,1.3903,263.2,0.98,0
TY,反向,左移,40%,4000,0.1048,2.968,39.217,178.59,0.001518,6.0713,3.0441,3.0356,526.3,0.953,0
TY,反向,左移,60%,6000,0.1398,1.796,39.217,178.59,0.001496,8.9767,2.0004,4.4883,789.5,0.959,0
TY,反向,左移,80%,8000,0.1647,1.323,39.217,178.59,0.001413,11.3047,1.417,5.6523,1052.6,0.986,0
TY,反向,左移,80%,8000,0.2224,1.387,39.217,178.59,0.002195,17.5589,2.201,8.7794,1052.6,0.914,0
TY,反向,左移,80%,8000,0.162,1.402,39.217,178.59,0.00138,11.0429,1.3842,5.5214,1052.6,0.94,0
TY,反向,左移,100%,10000,0.2004,1.277,39.217,178.59,0.001503,15.0283,1.2056,7.5142,1315.8,0.965,0
