seg_id,idx_start,idx_end,t_start,t_end,duration,channel,direction,direction_name,motion_type,holding,amplitude,amp_pct,motor_median,depth_mean,depth_std,yaw_mean,yaw_std,steady_vx,steady_vy,steady_wz,total_speed
1,6420,6439,1781581910.4430835,1781581912.7128272,2.27,TX,1,前进,直航,定深定向,4000,40%,4000,-0.7319,0.0079,-106.874,0.518,0.124,0.012,0.822,0.1246
2,6470,6585,1781581916.4406855,1781581930.2416883,13.8,TX,1,前进,直航,定深定向,4000,40%,4000,-0.547,0.1199,-37.055,23.346,0.6221,0.0834,10.961,0.628
3,6586,6627,1781581930.3534262,1781581935.2734623,4.92,MZ,1,右转,旋转,定深,4000,40%,4000,-0.2524,0.0265,-68.999,27.553,0.259,0.0133,-27.9281,0.2599
4,6628,6931,1781581935.3937624,1781581971.7531352,36.36,TX,1,前进,直航,定深定向,4000,40%,4000,-0.2012,0.1357,-16.009,26.307,0.5816,0.0501,1.5903,0.5848
5,6932,6985,1781581971.8731234,1781581978.2432094,6.37,MZ,1,右转,旋转,定深,4000,40%,4000,0.3132,0.025,-25.099,43.387,0.2137,-0.0056,-31.143,0.2139
6,6988,7202,1781581978.594205,1781582004.2781851,25.68,TX,1,前进,直航,定深定向,4000,40%,4000,0.3604,0.1546,-2.36,52.516,0.54,0.0761,3.7696,0.5456
7,7239,7275,1781582008.7149541,1781582013.0451753,4.33,MZ,-1,左转,旋转,定深,4000,40%,-4000,0.6016,0.0481,-91.45,31.682,0.0747,0.0842,28.7853,0.1168
8,7984,8475,1781582098.1177483,1781582157.0523305,58.93,TX,1,前进,直航,定深定向,4000,40%,4000,-0.2716,0.2587,87.904,88.324,0.5605,0.0421,2.0336,0.5675
9,8722,8786,1781582186.6778314,1781582194.3577566,7.68,TX,1,前进,直航,定深定向,4000,40%,4000,-0.6875,0.0592,-25.915,13.509,0.5927,0.0679,8.7376,0.5968
10,8787,8833,1781582194.4778118,1781582199.9978836,5.52,MZ,1,右转,旋转,定深,4000,40%,4000,-0.4851,0.0312,-26.037,34.335,0.2575,0.0,-29.7033,0.2579
11,8842,9227,1781582201.0777798,1781582247.2783952,46.2,TX,1,前进,直航,定深定向,4000,40%,4000,-0.1387,0.357,92.416,100.709,0.5547,0.0733,1.2887,0.5598
12,9286,9387,1781582254.3587096,1781582266.4789534,12.12,TX,1,前进,直航,定深定向,4000,40%,4000,0.469,0.0289,-10.175,151.681,0.6057,0.1004,11.7559,0.614
13,9578,9872,1781582289.3989103,1781582324.6791704,35.28,TX,1,前进,直航,定深定向,4000,40%,4000,-0.7534,0.0644,-150.614,30.043,0.4904,0.0459,1.3924,0.4949
14,9917,9971,1781582330.0793614,1781582336.5594993,6.48,TX,1,前进,直航,定深定向,4000,40%,4000,0.1708,0.245,-149.088,15.88,0.4814,0.0164,-11.6689,0.482
15,10132,10693,1781582355.8791773,1781582423.2010076,67.32,TX,1,前进,直航,定深定向,4000,40%,4000,-0.5937,0.1444,-55.683,15.041,0.501,0.0573,-1.1623,0.5063
16,11074,11407,1781582468.9221797,1781582508.8829088,39.96,TX,1,前进,直航,定深定向,4000,40%,4000,-0.2339,0.4507,-37.524,107.93,0.5909,0.1044,12.8522,0.6003
17,11638,11695,1781582536.6035528,1781582543.453189,6.85,MZ,-1,左转,旋转,定深,4000,40%,-4000,-0.8369,0.0089,26.239,131.924,-0.01,0.0076,27.6883,0.0154
18,11719,11854,1781582546.3237565,1781582562.5244646,16.2,TX,1,前进,直航,定深定向,4000,40%,4000,-0.7063,0.1546,-26.946,39.066,0.5699,0.0606,11.8451,0.5784
19,12332,12569,1781582619.8855212,1781582648.3263743,28.44,TY,-1,左移,侧移,定深,2000,20%,-2000,-0.798,0.0132,-77.163,6.912,-0.0008,-0.0239,-0.5899,0.024
20,12950,13228,1781582694.0637364,1781582727.4102993,33.35,TY,1,右移,侧移,定深,2000,20%,2000,-0.781,0.0316,-69.6,18.588,0.0221,0.1054,-1.9006,0.1078
21,13386,13684,1781582746.3710325,1781582782.1320012,35.76,TY,1,右移,侧移,定深,4000,40%,4000,-0.6764,0.0947,-12.276,28.492,0.0422,0.1701,-3.4634,0.1754
22,14425,14606,1781582871.0554929,1781582892.7733183,21.72,TX,1,前进,直航,定深定向,4000,40%,4000,2.1049,0.1003,-17.74,62.191,0.6042,0.0814,11.6988,0.6097
23,15133,15360,1781582956.019042,1781582983.266102,27.25,TX,1,前进,直航,定深定向,4000,40%,4000,2.4246,0.0712,87.606,56.936,0.5552,0.0887,10.5627,0.5626
24,15649,15724,1781583017.936162,1781583026.936574,9.0,MZ,1,右转,旋转,定深,2000,20%,1672,2.3388,0.0541,-44.149,41.172,0.0368,0.0171,-15.7924,0.0408
25,17765,18002,1781583278.7930825,1781583307.2334585,28.44,TX,-1,后退,直航,定深定向,2000,20%,-2000,2.4737,0.3469,-149.313,1.929,-0.197,-0.0054,-0.4104,0.1973
26,18089,18284,1781583317.6674616,1781583341.0658276,23.4,TX,-1,后退,直航,定深定向,4000,40%,-4000,2.9878,0.2716,-148.278,2.574,-0.3621,0.0016,-0.2353,0.3622
27,18491,18664,1781583365.9032378,1781583386.6611302,20.76,TX,1,前进,直航,定深定向,2000,20%,2000,3.2432,0.0809,-152.597,1.132,0.2474,0.0174,0.142,0.2481
28,18757,18917,1781583397.8260088,1781583417.0276368,19.2,TY,-1,左移,侧移,定深,2000,20%,-2000,3.0095,0.038,-149.519,0.451,0.0058,-0.0453,0.0793,0.0463
29,18993,19164,1781583426.137429,1781583446.6571522,20.52,TY,-1,左移,侧移,定深,4000,40%,-4000,2.9021,0.0402,-149.515,0.36,0.0083,-0.1033,0.0006,0.1037
30,19303,19557,1781583463.3358374,1781583493.8219197,30.49,TX,1,前进,直航,定深定向,6000,60%,6000,2.6273,0.1349,16.136,124.048,0.6021,0.1021,10.6456,0.611
31,20055,20187,1781583554.2910278,1781583570.1304603,15.84,TX,1,前进,直航,定深定向,6000,60%,6000,1.9279,0.0734,-157.772,2.309,0.6812,0.037,0.0975,0.6823
