seg_id,idx_start,idx_end,t_start,t_end,duration,channel,direction,direction_name,motion_type,holding,amplitude,amp_pct,motor_median,depth_mean,depth_std,yaw_mean,yaw_std,steady_vx,steady_vy,steady_wz,total_speed,idx_pad_start,idx_pad_end,pp_seg_mean,pp_pre_mean,pp_post_mean,pp_ratio
1,12950,13228,1781582694.0637364,1781582727.4102993,33.35,TY,1,右移,侧移,定深,2000,20%,2000,-0.781,0.0316,-69.6,18.588,0.0221,0.1054,-1.9006,0.1078,12867,13312,6.9,6.9,6.9,0
2,13386,13684,1781582746.3710325,1781582782.1320012,35.76,TY,1,右移,侧移,定深,4000,40%,4000,-0.6764,0.0947,-12.276,28.492,0.0422,0.1701,-3.4634,0.1754,13303,13768,6.9,6.9,6.9,0
3,14425,14606,1781582871.0554929,1781582892.7733183,21.72,TX,1,前进,直航,定深定向,4000,40%,4000,2.1049,0.1003,-17.74,62.191,0.6042,0.0814,11.6988,0.6097,14342,14690,6.9,6.9,6.9,0
4,15133,15360,1781582956.019042,1781582983.266102,27.25,TX,1,前进,直航,定深定向,4000,40%,4000,2.4246,0.0712,87.606,56.936,0.5552,0.0887,10.5627,0.5626,15050,15444,6.9,6.9,6.9,0
5,15649,15724,1781583017.936162,1781583026.936574,9.0,MZ,1,右转,旋转,定深,2000,20%,1672,2.3388,0.0541,-44.149,41.172,0.0368,0.0171,-15.7924,0.0408,15566,15808,6.9,6.9,6.9,0
6,17765,18002,1781583278.7930825,1781583307.2334585,28.44,TX,-1,后退,直航,定深定向,2000,20%,-2000,2.4737,0.3469,-149.313,1.929,-0.197,-0.0054,-0.4104,0.1973,17682,18086,6.9,6.9,6.9,0
7,18089,18284,1781583317.6674616,1781583341.0658276,23.4,TX,-1,后退,直航,定深定向,4000,40%,-4000,2.9878,0.2716,-148.278,2.574,-0.3621,0.0016,-0.2353,0.3622,18006,18368,6.9,6.9,6.9,0
8,18491,18664,1781583365.9032378,1781583386.6611302,20.76,TX,1,前进,直航,定深定向,2000,20%,2000,3.2432,0.0809,-152.597,1.132,0.2474,0.0174,0.142,0.2481,18408,18748,6.9,6.9,6.9,0
9,18757,18917,1781583397.8260088,1781583417.0276368,19.2,TY,-1,左移,侧移,定深,2000,20%,-2000,3.0095,0.038,-149.519,0.451,0.0058,-0.0453,0.0793,0.0463,18674,19001,6.9,6.9,6.9,0
10,18993,19164,1781583426.137429,1781583446.6571522,20.52,TY,-1,左移,侧移,定深,4000,40%,-4000,2.9021,0.0402,-149.515,0.36,0.0083,-0.1033,0.0006,0.1037,18910,19248,6.9,6.9,6.9,0
11,19303,19557,1781583463.3358374,1781583493.8219197,30.49,TX,1,前进,直航,定深定向,6000,60%,6000,2.6273,0.1349,16.136,124.048,0.6021,0.1021,10.6456,0.611,19220,19641,6.9,6.9,6.9,0
12,20055,20187,1781583554.2910278,1781583570.1304603,15.84,TX,1,前进,直航,定深定向,6000,60%,6000,1.9279,0.0734,-157.772,2.309,0.6812,0.037,0.0975,0.6823,19976,20271,6.9,6.9,6.9,0
